,Bairro,Cidade,Estado,Id,Latitude,Longitude,Nan3,Nan4,Preço,Quartos,TBD,Url
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534815681296,-27.609690999999998,-48.478875,,,1700,2.0,,trindadeimoveis.com.br
0,,,,1534844859237,1.16701,,,,1700,2.0,,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534856793529,-27.609690999999998,-48.478875,,,1500,3.0,,trindadeimoveis.com.br
0,,,,1534750571778,1.6740419999999998,,,,1500,3.0,,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534772482271,-27.609690999999998,-48.478875,,,1100,,,trindadeimoveis.com.br
0,,,,1534721283726,1.16701,,,,1100,,,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534848513525,-27.609690999999998,-48.478875,,,490000,2.0,,trindadeimoveis.com.br
0,,,,1534798214315,,,,,490000,2.0,,trindadeimoveis.com.br
0,,,,1534828873555,1.16701,,,,480000,,,trindadeimoveis.com.br
0,,,,1534726568168,1.6740419999999998,,,,480000,,,trindadeimoveis.com.br
0,,,,1534824688412,,,,,350000,,,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534700668118,-27.609690999999998,-48.478875,,,350000,,,trindadeimoveis.com.br
0,,,,1534819124043,1.16701,,,,220000,3.0,70.0,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534819061619,-27.609690999999998,-48.478875,,,220000,3.0,70.0,trindadeimoveis.com.br
0,,Florianópolis,Santa Catarina,1534853355912,-27.6558,-48.4797,,,700000,2.0,718.69,trindadeimoveis.com.br
0,,Florianópolis,Santa Catarina,1534724564981,-27.6558,-48.4797,,,700000,2.0,718.69,trindadeimoveis.com.br
0,Ingleses Centro,Florianópolis,Santa Catarina,1534775656892,-27.4306,-48.3995,,,350000,1.0,556.0,trindadeimoveis.com.br
0,Ingleses Centro,Florianópolis,Santa Catarina,1534702711729,-27.4306,-48.3995,,,350000,1.0,556.0,trindadeimoveis.com.br
0,,,,1534842404922,-26.9879,,,,800000,3.0,123.0,trindadeimoveis.com.br
0,São Judas Tadeu,Balneário Camboriú,Santa Catarina,1534770589784,-26.9879,-48.478875,,,800000,3.0,123.0,trindadeimoveis.com.br
0,José Mendes,Florianópolis,Santa Catarina,1534756906609,-27.609690999999998,-48.5482,,,130000,2.0,80.0,trindadeimoveis.com.br
0,José Mendes,Florianópolis,Santa Catarina,1534756852817,-27.609690999999998,-48.5482,,,130000,2.0,80.0,trindadeimoveis.com.br
0,,Canoinhas,Santa Catarina,1534825012057,-26.1728,-50.3904,,,350000,3.0,99.16,trindadeimoveis.com.br
0,,Canoinhas,Santa Catarina,1534824899686,-26.1728,-50.3904,,,350000,3.0,99.16,trindadeimoveis.com.br
0,Freguesia do Ribeirão,Florianópolis,Santa Catarina,1534716917225,-27.7033,-48.5353,,,350000,4.0,120.0,trindadeimoveis.com.br
0,Freguesia do Ribeirão,Florianópolis,Santa Catarina,1534712445729,-27.7033,-48.5353,,,350000,4.0,120.0,trindadeimoveis.com.br
0,Santa Mônica,Florianópolis,Santa Catarina,1534699738759,-27.5902,-48.5136,,,1080000,3.0,137.45,trindadeimoveis.com.br
0,Santa Mônica,Florianópolis,Santa Catarina,1534834650910,-27.5902,-48.5136,,,1080000,3.0,137.45,trindadeimoveis.com.br
0,,Florianópolis,Santa Catarina,1534707853858,-27.4286,-48.4541,,,2500000,8.0,,trindadeimoveis.com.br
0,,Florianópolis,Santa Catarina,1534762167703,-27.4286,-48.4541,,,2500000,8.0,,trindadeimoveis.com.br
0,Pantanal,Florianópolis,Santa Catarina,1534722186224,-27.6108,-48.5203,1.0,1.0,390000,2.0,55.0,trindadeimoveis.com.br
0,Pantanal,Florianópolis,Santa Catarina,1534700318541,-27.6108,-48.5203,1.0,1.0,390000,2.0,55.0,trindadeimoveis.com.br
0,Saco dos Limões,Florianópolis,Santa Catarina,1534703051314,-27.6153,-48.5258,,,250000,4.0,205.2,trindadeimoveis.com.br
0,Saco dos Limões,Florianópolis,Santa Catarina,1534772162310,-27.6153,-48.5258,,,250000,4.0,205.2,trindadeimoveis.com.br
0,José Mendes,Florianópolis,Santa Catarina,1534850384807,-27.6111,-48.5461,,,310000,3.0,76.0,trindadeimoveis.com.br
0,José Mendes,Florianópolis,Santa Catarina,1534711773840,-27.6111,-48.5461,,,310000,3.0,76.0,trindadeimoveis.com.br
0,,,,1534802867557,,,,,290000,2.0,94.09,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534799312428,-27.5872,-48.5279,,,290000,2.0,94.09,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534700388458,-27.5963,-48.478875,,,279000,2.0,77.0,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534773192195,-27.5963,-48.478875,,,279000,2.0,77.0,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534810998660,-27.5986,-48.478875,,,380000,3.0,86.71,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534810916083,-27.5986,-48.478875,,,380000,3.0,86.71,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534830701313,-27.5973,-48.5272,,,400000,3.0,98.0,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534828034597,-27.5973,-48.5272,,,400000,3.0,98.0,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534824436122,-27.5921,-48.5224,,,980000,,600.0,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534858359407,-27.5921,-48.5224,,,980000,,600.0,trindadeimoveis.com.br
0,José Mendes,Florianópolis,Santa Catarina,1534709460861,-27.6102,-48.5442,,,955000,2.0,990.0,trindadeimoveis.com.br
0,José Mendes,Florianópolis,Santa Catarina,1534774690310,-27.6102,-48.5442,,,955000,2.0,990.0,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534724740578,-27.5919,-48.5233,,,1200000,9.0,250.0,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534725351287,-27.5919,-48.5233,,,1200000,9.0,250.0,trindadeimoveis.com.br
0,,,,1534840451853,-27.5767,,,,350000,3.0,82.8,trindadeimoveis.com.br
0,Monte Verde,Florianópolis,Santa Catarina,1534840363549,-27.5767,-48.478875,,,350000,3.0,82.8,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534771882506,-27.6074,-48.478875,,,320000,2.0,70.71,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534702290521,-27.6074,-48.478875,,,320000,2.0,70.71,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534709236482,-27.5822,-48.5262,,,320000,2.0,69.0,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534700209640,-27.5822,-48.5262,,,320000,2.0,69.0,trindadeimoveis.com.br
0,,,,1534710077413,-27.5888,,,,259000,2.0,52.34,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534803754855,-27.5888,-48.5207,,,259000,2.0,52.34,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534839685078,-27.5963,-48.478875,,,320000,3.0,89.75,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534839617337,-27.5963,-48.478875,,,320000,3.0,89.75,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534819746301,-27.609690999999998,-48.478875,,,550000,,330.0,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534819606064,-27.5951,-48.5245,,,550000,,330.0,trindadeimoveis.com.br
0,Itacorubi,Florianópolis,Santa Catarina,1534714930759,-27.5776,-48.5116,,,270000,3.0,66.13,trindadeimoveis.com.br
0,Itacorubi,Florianópolis,Santa Catarina,1534786332948,-27.5776,-48.5116,,,270000,3.0,66.13,trindadeimoveis.com.br
0,Agronômica,Florianópolis,Santa Catarina,1534710487468,-27.5746,-48.5332,,,175000,1.0,49.7,trindadeimoveis.com.br
0,Agronômica,Florianópolis,Santa Catarina,1534812271753,-27.5746,-48.5332,,,175000,1.0,49.7,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534717363190,-27.5891,-48.5207,,,330000,3.0,74.3,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534702540725,-27.5891,-48.5207,,,330000,3.0,74.3,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534850305606,-27.5903,-48.5196,,,330000,3.0,75.05,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534850201579,-27.5903,-48.5196,,,330000,3.0,75.05,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534848713968,-27.5812,-48.5265,,,380000,2.0,,trindadeimoveis.com.br
0,Trindade,Florianópolis,Santa Catarina,1534848625252,-27.5812,-48.5265,,,380000,2.0,,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534700751495,-27.6001,-48.4772,,,1450000,4.0,12000.0,trindadeimoveis.com.br
0,Canto da Lagoa,Florianópolis,Santa Catarina,1534825031703,-27.6001,-48.4772,,,1450000,4.0,12000.0,trindadeimoveis.com.br
