,Bairro,Banheiros,Cidade,Estado,Latitude,Longitude,Preço,Quartos,Suítes,Timestamp,Url,Área
0,Canto da Lagoa,,Florianópolis,Santa Catarina,-27.609690999999998,-48.478875,1700,2.0,,1534815681296,trindadeimoveis.com.br,
0,,,,,1.16701,,1700,2.0,,1534844859237,trindadeimoveis.com.br,
0,Canto da Lagoa,,Florianópolis,Santa Catarina,-27.609690999999998,-48.478875,1500,3.0,,1534856793529,trindadeimoveis.com.br,
0,,,,,1.6740419999999998,,1500,3.0,,1534750571778,trindadeimoveis.com.br,
0,Canto da Lagoa,,Florianópolis,Santa Catarina,-27.609690999999998,-48.478875,1100,,,1534772482271,trindadeimoveis.com.br,
0,,,,,1.16701,,1100,,,1534721283726,trindadeimoveis.com.br,
0,Canto da Lagoa,,Florianópolis,Santa Catarina,-27.609690999999998,-48.478875,490000,2.0,,1534848513525,trindadeimoveis.com.br,
0,,,,,,,490000,2.0,,1534798214315,trindadeimoveis.com.br,
0,,,,,1.16701,,480000,,,1534828873555,trindadeimoveis.com.br,
0,,,,,1.6740419999999998,,480000,,,1534726568168,trindadeimoveis.com.br,
0,,,,,,,350000,,,1534824688412,trindadeimoveis.com.br,
0,Canto da Lagoa,,Florianópolis,Santa Catarina,-27.609690999999998,-48.478875,350000,,,1534700668118,trindadeimoveis.com.br,
0,,,,,1.16701,,220000,3.0,,1534819124043,trindadeimoveis.com.br,70.0
0,Canto da Lagoa,,Florianópolis,Santa Catarina,-27.609690999999998,-48.478875,220000,3.0,,1534819061619,trindadeimoveis.com.br,70.0
0,,,Florianópolis,Santa Catarina,-27.6558,-48.4797,700000,2.0,,1534853355912,trindadeimoveis.com.br,718.69
0,,,Florianópolis,Santa Catarina,-27.6558,-48.4797,700000,2.0,,1534724564981,trindadeimoveis.com.br,718.69
0,Ingleses Centro,,Florianópolis,Santa Catarina,-27.4306,-48.3995,350000,1.0,,1534775656892,trindadeimoveis.com.br,556.0
0,Ingleses Centro,,Florianópolis,Santa Catarina,-27.4306,-48.3995,350000,1.0,,1534702711729,trindadeimoveis.com.br,556.0
0,,,,,-26.9879,,800000,3.0,,1534842404922,trindadeimoveis.com.br,123.0
